Published Rates,,,,,,Sequestration Reduction Applied,,,,
CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient,,CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient
25320,2089.06,2089.06,1671.248,417.812,,25320,2055.63504,2055.63504,1637.82304,417.812
25332,1724.9,1724.9,1379.92,344.98,,25332,1697.3016,1697.3016,1352.3216,344.98
25335,2089.06,2089.06,1671.248,417.812,,25335,2055.63504,2055.63504,1637.82304,417.812
25337,2089.06,2089.06,1671.248,417.812,,25337,2055.63504,2055.63504,1637.82304,417.812
25350,2089.06,2089.06,1671.248,417.812,,25350,2055.63504,2055.63504,1637.82304,417.812
25355,2089.06,2089.06,1671.248,417.812,,25355,2055.63504,2055.63504,1637.82304,417.812
25360,2089.06,2089.06,1671.248,417.812,,25360,2055.63504,2055.63504,1637.82304,417.812
25365,2089.06,2089.06,1671.248,417.812,,25365,2055.63504,2055.63504,1637.82304,417.812
25370,2089.06,2089.06,1671.248,417.812,,25370,2055.63504,2055.63504,1637.82304,417.812
25375,2089.06,2089.06,1671.248,417.812,,25375,2055.63504,2055.63504,1637.82304,417.812
25390,2089.06,2089.06,1671.248,417.812,,25390,2055.63504,2055.63504,1637.82304,417.812
25391,2089.06,2089.06,1671.248,417.812,,25391,2055.63504,2055.63504,1637.82304,417.812
25392,1422.98,1422.98,1138.384,284.596,,25392,1400.21232,1400.21232,1115.61632,284.596
25393,2089.06,2089.06,1671.248,417.812,,25393,2055.63504,2055.63504,1637.82304,417.812
25394,2089.06,2089.06,1671.248,417.812,,25394,2055.63504,2055.63504,1637.82304,417.812
25400,2089.06,2089.06,1671.248,417.812,,25400,2055.63504,2055.63504,1637.82304,417.812
25405,3594.58,3594.58,2875.664,718.916,,25405,3537.06672,3537.06672,2818.15072,718.916
25415,3594.58,3594.58,2875.664,718.916,,25415,3537.06672,3537.06672,2818.15072,718.916
25420,3594.58,3594.58,2875.664,718.916,,25420,3537.06672,3537.06672,2818.15072,718.916
25425,2089.06,2089.06,1671.248,417.812,,25425,2055.63504,2055.63504,1637.82304,417.812
25426,2089.06,2089.06,1671.248,417.812,,25426,2055.63504,2055.63504,1637.82304,417.812
25430,2089.06,2089.06,1671.248,417.812,,25430,2055.63504,2055.63504,1637.82304,417.812
25431,2089.06,2089.06,1671.248,417.812,,25431,2055.63504,2055.63504,1637.82304,417.812
25440,2089.06,2089.06,1671.248,417.812,,25440,2055.63504,2055.63504,1637.82304,417.812
25441,7986.67,7986.67,6389.336,1597.334,,25441,7858.88328,7858.88328,6261.54928,1597.334
25442,7986.67,7986.67,6389.336,1597.334,,25442,7858.88328,7858.88328,6261.54928,1597.334
25443,2562.62,2562.62,2050.096,512.524,,25443,2521.61808,2521.61808,2009.09408,512.524
25444,2562.62,2562.62,2050.096,512.524,,25444,2521.61808,2521.61808,2009.09408,512.524
25445,2562.62,2562.62,2050.096,512.524,,25445,2521.61808,2521.61808,2009.09408,512.524
25446,7986.67,7986.67,6389.336,1597.334,,25446,7858.88328,7858.88328,6261.54928,1597.334
25447,1724.9,1724.9,1379.92,344.98,,25447,1697.3016,1697.3016,1352.3216,344.98
25449,1724.9,1724.9,1379.92,344.98,,25449,1697.3016,1697.3016,1352.3216,344.98
25450,2089.06,2089.06,1671.248,417.812,,25450,2055.63504,2055.63504,1637.82304,417.812
25455,2089.06,2089.06,1671.248,417.812,,25455,2055.63504,2055.63504,1637.82304,417.812
25490,2089.06,2089.06,1671.248,417.812,,25490,2055.63504,2055.63504,1637.82304,417.812
25491,2089.06,2089.06,1671.248,417.812,,25491,2055.63504,2055.63504,1637.82304,417.812
25492,2089.06,2089.06,1671.248,417.812,,25492,2055.63504,2055.63504,1637.82304,417.812
25500,59.76,59.76,47.808,11.952,,25500,58.80384,58.80384,46.85184,11.952
25505,247.99,247.99,198.392,49.598,,25505,244.02216,244.02216,194.42416,49.598
25515,2278.63,2278.63,1822.904,455.726,,25515,2242.17192,2242.17192,1786.44592,455.726
25520,95.82,95.82,76.656,19.164,,25520,94.28688,94.28688,75.12288,19.164
25525,2278.63,2278.63,1822.904,455.726,,25525,2242.17192,2242.17192,1786.44592,455.726
25526,2278.63,2278.63,1822.904,455.726,,25526,2242.17192,2242.17192,1786.44592,455.726
25530,59.76,59.76,47.808,11.952,,25530,58.80384,58.80384,46.85184,11.952
25535,95.82,95.82,76.656,19.164,,25535,94.28688,94.28688,75.12288,19.164
25545,2278.63,2278.63,1822.904,455.726,,25545,2242.17192,2242.17192,1786.44592,455.726
25560,59.76,59.76,47.808,11.952,,25560,58.80384,58.80384,46.85184,11.952
25565,95.82,95.82,76.656,19.164,,25565,94.28688,94.28688,75.12288,19.164
25574,2974.03,2974.03,2379.224,594.806,,25574,2926.44552,2926.44552,2331.63952,594.806
25575,2974.03,2974.03,2379.224,594.806,,25575,2926.44552,2926.44552,2331.63952,594.806
25600,95.82,95.82,76.656,19.164,,25600,94.28688,94.28688,75.12288,19.164
25605,247.99,247.99,198.392,49.598,,25605,244.02216,244.02216,194.42416,49.598
25606,1111.58,1111.58,889.264,222.316,,25606,1093.79472,1093.79472,871.47872,222.316
25607,2974.03,2974.03,2379.224,594.806,,25607,2926.44552,2926.44552,2331.63952,594.806
25608,2974.03,2974.03,2379.224,594.806,,25608,2926.44552,2926.44552,2331.63952,594.806
25609,2974.03,2974.03,2379.224,594.806,,25609,2926.44552,2926.44552,2331.63952,594.806
25622,95.82,95.82,76.656,19.164,,25622,94.28688,94.28688,75.12288,19.164
25624,247.99,247.99,198.392,49.598,,25624,244.02216,244.02216,194.42416,49.598
25628,2278.63,2278.63,1822.904,455.726,,25628,2242.17192,2242.17192,1786.44592,455.726
25630,95.82,95.82,76.656,19.164,,25630,94.28688,94.28688,75.12288,19.164
25635,95.82,95.82,76.656,19.164,,25635,94.28688,94.28688,75.12288,19.164
25645,2278.63,2278.63,1822.904,455.726,,25645,2242.17192,2242.17192,1786.44592,455.726
25650,95.82,95.82,76.656,19.164,,25650,94.28688,94.28688,75.12288,19.164
25651,1111.58,1111.58,889.264,222.316,,25651,1093.79472,1093.79472,871.47872,222.316
25652,2278.63,2278.63,1822.904,455.726,,25652,2242.17192,2242.17192,1786.44592,455.726
25660,95.82,95.82,76.656,19.164,,25660,94.28688,94.28688,75.12288,19.164
25670,1111.58,1111.58,889.264,222.316,,25670,1093.79472,1093.79472,871.47872,222.316
25671,1111.58,1111.58,889.264,222.316,,25671,1093.79472,1093.79472,871.47872,222.316
25675,95.82,95.82,76.656,19.164,,25675,94.28688,94.28688,75.12288,19.164
25676,1111.58,1111.58,889.264,222.316,,25676,1093.79472,1093.79472,871.47872,222.316
25680,59.76,59.76,47.808,11.952,,25680,58.80384,58.80384,46.85184,11.952
25685,1111.58,1111.58,889.264,222.316,,25685,1093.79472,1093.79472,871.47872,222.316
25690,691.71,691.71,553.368,138.342,,25690,680.64264,680.64264,542.30064,138.342
25695,1111.58,1111.58,889.264,222.316,,25695,1093.79472,1093.79472,871.47872,222.316
25800,3594.58,3594.58,2875.664,718.916,,25800,3537.06672,3537.06672,2818.15072,718.916
25805,3594.58,3594.58,2875.664,718.916,,25805,3537.06672,3537.06672,2818.15072,718.916
25810,3594.58,3594.58,2875.664,718.916,,25810,3537.06672,3537.06672,2818.15072,718.916
25820,2089.06,2089.06,1671.248,417.812,,25820,2055.63504,2055.63504,1637.82304,417.812
25825,3594.58,3594.58,2875.664,718.916,,25825,3537.06672,3537.06672,2818.15072,718.916
25830,2089.06,2089.06,1671.248,417.812,,25830,2055.63504,2055.63504,1637.82304,417.812
25907,905.46,905.46,724.368,181.092,,25907,890.97264,890.97264,709.88064,181.092
25922,905.46,905.46,724.368,181.092,,25922,890.97264,890.97264,709.88064,181.092
25929,757.47,757.47,605.976,151.494,,25929,745.35048,745.35048,593.85648,151.494
25931,905.46,905.46,724.368,181.092,,25931,890.97264,890.97264,709.88064,181.092
26010,88.2,88.2,70.56,17.64,,26010,86.7888,86.7888,69.1488,17.64
26011,466.55,466.55,373.24,93.31,,26011,459.0852,459.0852,365.7752,93.31
26020,690.86,690.86,552.688,138.172,,26020,679.80624,679.80624,541.63424,138.172
26025,690.86,690.86,552.688,138.172,,26025,679.80624,679.80624,541.63424,138.172
26030,690.86,690.86,552.688,138.172,,26030,679.80624,679.80624,541.63424,138.172
26034,690.86,690.86,552.688,138.172,,26034,679.80624,679.80624,541.63424,138.172
26035,690.86,690.86,552.688,138.172,,26035,679.80624,679.80624,541.63424,138.172
26037,690.86,690.86,552.688,138.172,,26037,679.80624,679.80624,541.63424,138.172
26040,690.86,690.86,552.688,138.172,,26040,679.80624,679.80624,541.63424,138.172
26045,1231.21,1231.21,984.968,246.242,,26045,1211.51064,1211.51064,965.26864,246.242
26055,690.86,690.86,552.688,138.172,,26055,679.80624,679.80624,541.63424,138.172
26060,690.86,690.86,552.688,138.172,,26060,679.80624,679.80624,541.63424,138.172
26070,690.86,690.86,552.688,138.172,,26070,679.80624,679.80624,541.63424,138.172
26075,690.86,690.86,552.688,138.172,,26075,679.80624,679.80624,541.63424,138.172
26080,690.86,690.86,552.688,138.172,,26080,679.80624,679.80624,541.63424,138.172
26100,690.86,690.86,552.688,138.172,,26100,679.80624,679.80624,541.63424,138.172
26105,690.86,690.86,552.688,138.172,,26105,679.80624,679.80624,541.63424,138.172
26110,690.86,690.86,552.688,138.172,,26110,679.80624,679.80624,541.63424,138.172
26111,959.3,959.3,767.44,191.86,,26111,943.9512,943.9512,752.0912,191.86
26113,959.3,959.3,767.44,191.86,,26113,943.9512,943.9512,752.0912,191.86
26115,633.26,633.26,506.608,126.652,,26115,623.12784,623.12784,496.47584,126.652
26116,633.26,633.26,506.608,126.652,,26116,623.12784,623.12784,496.47584,126.652
26117,633.26,633.26,506.608,126.652,,26117,623.12784,623.12784,496.47584,126.652
26118,959.3,959.3,767.44,191.86,,26118,943.9512,943.9512,752.0912,191.86
26121,1231.21,1231.21,984.968,246.242,,26121,1211.51064,1211.51064,965.26864,246.242
26123,1231.21,1231.21,984.968,246.242,,26123,1211.51064,1211.51064,965.26864,246.242
26130,690.86,690.86,552.688,138.172,,26130,679.80624,679.80624,541.63424,138.172
26135,1231.21,1231.21,984.968,246.242,,26135,1211.51064,1211.51064,965.26864,246.242
26140,690.86,690.86,552.688,138.172,,26140,679.80624,679.80624,541.63424,138.172
26145,690.86,690.86,552.688,138.172,,26145,679.80624,679.80624,541.63424,138.172
26160,690.86,690.86,552.688,138.172,,26160,679.80624,679.80624,541.63424,138.172
26170,690.86,690.86,552.688,138.172,,26170,679.80624,679.80624,541.63424,138.172
26180,690.86,690.86,552.688,138.172,,26180,679.80624,679.80624,541.63424,138.172
26185,690.86,690.86,552.688,138.172,,26185,679.80624,679.80624,541.63424,138.172
26200,690.86,690.86,552.688,138.172,,26200,679.80624,679.80624,541.63424,138.172
26205,1231.21,1231.21,984.968,246.242,,26205,1211.51064,1211.51064,965.26864,246.242
26210,690.86,690.86,552.688,138.172,,26210,679.80624,679.80624,541.63424,138.172
26215,690.86,690.86,552.688,138.172,,26215,679.80624,679.80624,541.63424,138.172
26230,690.86,690.86,552.688,138.172,,26230,679.80624,679.80624,541.63424,138.172
26235,690.86,690.86,552.688,138.172,,26235,679.80624,679.80624,541.63424,138.172
26236,690.86,690.86,552.688,138.172,,26236,679.80624,679.80624,541.63424,138.172
26250,690.86,690.86,552.688,138.172,,26250,679.80624,679.80624,541.63424,138.172
26260,690.86,690.86,552.688,138.172,,26260,679.80624,679.80624,541.63424,138.172
26262,690.86,690.86,552.688,138.172,,26262,679.80624,679.80624,541.63424,138.172
26320,633.26,633.26,506.608,126.652,,26320,623.12784,623.12784,496.47584,126.652
26340,95.82,95.82,76.656,19.164,,26340,94.28688,94.28688,75.12288,19.164
26341,61.26,61.26,49.008,12.252,,26341,60.27984,60.27984,48.02784,12.252
26350,1231.21,1231.21,984.968,246.242,,26350,1211.51064,1211.51064,965.26864,246.242
26352,1231.21,1231.21,984.968,246.242,,26352,1211.51064,1211.51064,965.26864,246.242
26356,1231.21,1231.21,984.968,246.242,,26356,1211.51064,1211.51064,965.26864,246.242
26357,1231.21,1231.21,984.968,246.242,,26357,1211.51064,1211.51064,965.26864,246.242
26358,1231.21,1231.21,984.968,246.242,,26358,1211.51064,1211.51064,965.26864,246.242
26370,1231.21,1231.21,984.968,246.242,,26370,1211.51064,1211.51064,965.26864,246.242
26372,1231.21,1231.21,984.968,246.242,,26372,1211.51064,1211.51064,965.26864,246.242
26373,1231.21,1231.21,984.968,246.242,,26373,1211.51064,1211.51064,965.26864,246.242
26390,1231.21,1231.21,984.968,246.242,,26390,1211.51064,1211.51064,965.26864,246.242
26392,1231.21,1231.21,984.968,246.242,,26392,1211.51064,1211.51064,965.26864,246.242
26410,690.86,690.86,552.688,138.172,,26410,679.80624,679.80624,541.63424,138.172
26412,1231.21,1231.21,984.968,246.242,,26412,1211.51064,1211.51064,965.26864,246.242
26415,1231.21,1231.21,984.968,246.242,,26415,1211.51064,1211.51064,965.26864,246.242
26416,1231.21,1231.21,984.968,246.242,,26416,1211.51064,1211.51064,965.26864,246.242
26418,690.86,690.86,552.688,138.172,,26418,679.80624,679.80624,541.63424,138.172
26420,1231.21,1231.21,984.968,246.242,,26420,1211.51064,1211.51064,965.26864,246.242
26426,1231.21,1231.21,984.968,246.242,,26426,1211.51064,1211.51064,965.26864,246.242
26428,1231.21,1231.21,984.968,246.242,,26428,1211.51064,1211.51064,965.26864,246.242
26432,690.86,690.86,552.688,138.172,,26432,679.80624,679.80624,541.63424,138.172
26433,690.86,690.86,552.688,138.172,,26433,679.80624,679.80624,541.63424,138.172
26434,1231.21,1231.21,984.968,246.242,,26434,1211.51064,1211.51064,965.26864,246.242
26437,690.86,690.86,552.688,138.172,,26437,679.80624,679.80624,541.63424,138.172
26440,690.86,690.86,552.688,138.172,,26440,679.80624,679.80624,541.63424,138.172
26442,1231.21,1231.21,984.968,246.242,,26442,1211.51064,1211.51064,965.26864,246.242
26445,690.86,690.86,552.688,138.172,,26445,679.80624,679.80624,541.63424,138.172
26449,1231.21,1231.21,984.968,246.242,,26449,1211.51064,1211.51064,965.26864,246.242
26450,690.86,690.86,552.688,138.172,,26450,679.80624,679.80624,541.63424,138.172
26455,690.86,690.86,552.688,138.172,,26455,679.80624,679.80624,541.63424,138.172
26460,690.86,690.86,552.688,138.172,,26460,679.80624,679.80624,541.63424,138.172
26471,690.86,690.86,552.688,138.172,,26471,679.80624,679.80624,541.63424,138.172
26474,690.86,690.86,552.688,138.172,,26474,679.80624,679.80624,541.63424,138.172
26476,690.86,690.86,552.688,138.172,,26476,679.80624,679.80624,541.63424,138.172
26477,690.86,690.86,552.688,138.172,,26477,679.80624,679.80624,541.63424,138.172
26478,690.86,690.86,552.688,138.172,,26478,679.80624,679.80624,541.63424,138.172
26479,690.86,690.86,552.688,138.172,,26479,679.80624,679.80624,541.63424,138.172
26480,1231.21,1231.21,984.968,246.242,,26480,1211.51064,1211.51064,965.26864,246.242
26483,1231.21,1231.21,984.968,246.242,,26483,1211.51064,1211.51064,965.26864,246.242
26485,1231.21,1231.21,984.968,246.242,,26485,1211.51064,1211.51064,965.26864,246.242
26489,1231.21,1231.21,984.968,246.242,,26489,1211.51064,1211.51064,965.26864,246.242
26490,1231.21,1231.21,984.968,246.242,,26490,1211.51064,1211.51064,965.26864,246.242
26492,1231.21,1231.21,984.968,246.242,,26492,1211.51064,1211.51064,965.26864,246.242
26494,1231.21,1231.21,984.968,246.242,,26494,1211.51064,1211.51064,965.26864,246.242
26496,1231.21,1231.21,984.968,246.242,,26496,1211.51064,1211.51064,965.26864,246.242
26497,1231.21,1231.21,984.968,246.242,,26497,1211.51064,1211.51064,965.26864,246.242
26498,1231.21,1231.21,984.968,246.242,,26498,1211.51064,1211.51064,965.26864,246.242
26499,1231.21,1231.21,984.968,246.242,,26499,1211.51064,1211.51064,965.26864,246.242
26500,690.86,690.86,552.688,138.172,,26500,679.80624,679.80624,541.63424,138.172
26502,1231.21,1231.21,984.968,246.242,,26502,1211.51064,1211.51064,965.26864,246.242
26508,690.86,690.86,552.688,138.172,,26508,679.80624,679.80624,541.63424,138.172
26510,1231.21,1231.21,984.968,246.242,,26510,1211.51064,1211.51064,965.26864,246.242
26516,1231.21,1231.21,984.968,246.242,,26516,1211.51064,1211.51064,965.26864,246.242
26517,1231.21,1231.21,984.968,246.242,,26517,1211.51064,1211.51064,965.26864,246.242
26518,1231.21,1231.21,984.968,246.242,,26518,1211.51064,1211.51064,965.26864,246.242
26520,690.86,690.86,552.688,138.172,,26520,679.80624,679.80624,541.63424,138.172
26525,690.86,690.86,552.688,138.172,,26525,679.80624,679.80624,541.63424,138.172
26530,1724.9,1724.9,1379.92,344.98,,26530,1697.3016,1697.3016,1352.3216,344.98
26531,2562.62,2562.62,2050.096,512.524,,26531,2521.61808,2521.61808,2009.09408,512.524
26535,1724.9,1724.9,1379.92,344.98,,26535,1697.3016,1697.3016,1352.3216,344.98
26536,2562.62,2562.62,2050.096,512.524,,26536,2521.61808,2521.61808,2009.09408,512.524
26540,690.86,690.86,552.688,138.172,,26540,679.80624,679.80624,541.63424,138.172
26541,1231.21,1231.21,984.968,246.242,,26541,1211.51064,1211.51064,965.26864,246.242
26542,690.86,690.86,552.688,138.172,,26542,679.80624,679.80624,541.63424,138.172
26545,1231.21,1231.21,984.968,246.242,,26545,1211.51064,1211.51064,965.26864,246.242
26546,1231.21,1231.21,984.968,246.242,,26546,1211.51064,1211.51064,965.26864,246.242
26548,1231.21,1231.21,984.968,246.242,,26548,1211.51064,1211.51064,965.26864,246.242
26550,1231.21,1231.21,984.968,246.242,,26550,1211.51064,1211.51064,965.26864,246.242
26555,1231.21,1231.21,984.968,246.242,,26555,1211.51064,1211.51064,965.26864,246.242
26560,690.86,690.86,552.688,138.172,,26560,679.80624,679.80624,541.63424,138.172
26561,1231.21,1231.21,984.968,246.242,,26561,1211.51064,1211.51064,965.26864,246.242
26562,1231.21,1231.21,984.968,246.242,,26562,1211.51064,1211.51064,965.26864,246.242
26565,1231.21,1231.21,984.968,246.242,,26565,1211.51064,1211.51064,965.26864,246.242
26567,1231.21,1231.21,984.968,246.242,,26567,1211.51064,1211.51064,965.26864,246.242
26568,1231.21,1231.21,984.968,246.242,,26568,1211.51064,1211.51064,965.26864,246.242
26580,690.86,690.86,552.688,138.172,,26580,679.80624,679.80624,541.63424,138.172
26587,690.86,690.86,552.688,138.172,,26587,679.80624,679.80624,541.63424,138.172
26590,690.86,690.86,552.688,138.172,,26590,679.80624,679.80624,541.63424,138.172
26591,1231.21,1231.21,984.968,246.242,,26591,1211.51064,1211.51064,965.26864,246.242
26593,690.86,690.86,552.688,138.172,,26593,679.80624,679.80624,541.63424,138.172
26596,690.86,690.86,552.688,138.172,,26596,679.80624,679.80624,541.63424,138.172
26600,59.76,59.76,47.808,11.952,,26600,58.80384,58.80384,46.85184,11.952
26605,95.82,95.82,76.656,19.164,,26605,94.28688,94.28688,75.12288,19.164
26607,691.71,691.71,553.368,138.342,,26607,680.64264,680.64264,542.30064,138.342
26608,1111.58,1111.58,889.264,222.316,,26608,1093.79472,1093.79472,871.47872,222.316
26615,2278.63,2278.63,1822.904,455.726,,26615,2242.17192,2242.17192,1786.44592,455.726
26641,95.82,95.82,76.656,19.164,,26641,94.28688,94.28688,75.12288,19.164
26645,95.82,95.82,76.656,19.164,,26645,94.28688,94.28688,75.12288,19.164
26650,1111.58,1111.58,889.264,222.316,,26650,1093.79472,1093.79472,871.47872,222.316
26665,2278.63,2278.63,1822.904,455.726,,26665,2242.17192,2242.17192,1786.44592,455.726
26670,59.76,59.76,47.808,11.952,,26670,58.80384,58.80384,46.85184,11.952
26675,95.82,95.82,76.656,19.164,,26675,94.28688,94.28688,75.12288,19.164
26676,1111.58,1111.58,889.264,222.316,,26676,1093.79472,1093.79472,871.47872,222.316
26685,1111.58,1111.58,889.264,222.316,,26685,1093.79472,1093.79472,871.47872,222.316
26686,2974.03,2974.03,2379.224,594.806,,26686,2926.44552,2926.44552,2331.63952,594.806
26700,95.82,95.82,76.656,19.164,,26700,94.28688,94.28688,75.12288,19.164
26705,95.82,95.82,76.656,19.164,,26705,94.28688,94.28688,75.12288,19.164
26706,691.71,691.71,553.368,138.342,,26706,680.64264,680.64264,542.30064,138.342
26715,1111.58,1111.58,889.264,222.316,,26715,1093.79472,1093.79472,871.47872,222.316
26720,59.76,59.76,47.808,11.952,,26720,58.80384,58.80384,46.85184,11.952
26725,95.82,95.82,76.656,19.164,,26725,94.28688,94.28688,75.12288,19.164
26727,1111.58,1111.58,889.264,222.316,,26727,1093.79472,1093.79472,871.47872,222.316
26735,1111.58,1111.58,889.264,222.316,,26735,1093.79472,1093.79472,871.47872,222.316
26740,95.82,95.82,76.656,19.164,,26740,94.28688,94.28688,75.12288,19.164
26742,95.82,95.82,76.656,19.164,,26742,94.28688,94.28688,75.12288,19.164
26746,1111.58,1111.58,889.264,222.316,,26746,1093.79472,1093.79472,871.47872,222.316
26750,59.76,59.76,47.808,11.952,,26750,58.80384,58.80384,46.85184,11.952
26755,95.82,95.82,76.656,19.164,,26755,94.28688,94.28688,75.12288,19.164
26756,1111.58,1111.58,889.264,222.316,,26756,1093.79472,1093.79472,871.47872,222.316
26765,1111.58,1111.58,889.264,222.316,,26765,1093.79472,1093.79472,871.47872,222.316
26770,59.76,59.76,47.808,11.952,,26770,58.80384,58.80384,46.85184,11.952
26775,76.4,76.4,61.12,15.28,,26775,75.1776,75.1776,59.8976,15.28
26776,1111.58,1111.58,889.264,222.316,,26776,1093.79472,1093.79472,871.47872,222.316
26785,1111.58,1111.58,889.264,222.316,,26785,1093.79472,1093.79472,871.47872,222.316
26820,1231.21,1231.21,984.968,246.242,,26820,1211.51064,1211.51064,965.26864,246.242
26841,1231.21,1231.21,984.968,246.242,,26841,1211.51064,1211.51064,965.26864,246.242
26842,1231.21,1231.21,984.968,246.242,,26842,1211.51064,1211.51064,965.26864,246.242
26843,1231.21,1231.21,984.968,246.242,,26843,1211.51064,1211.51064,965.26864,246.242
26844,1231.21,1231.21,984.968,246.242,,26844,1211.51064,1211.51064,965.26864,246.242
26850,1231.21,1231.21,984.968,246.242,,26850,1211.51064,1211.51064,965.26864,246.242
26852,1231.21,1231.21,984.968,246.242,,26852,1211.51064,1211.51064,965.26864,246.242
26860,1231.21,1231.21,984.968,246.242,,26860,1211.51064,1211.51064,965.26864,246.242
26862,1231.21,1231.21,984.968,246.242,,26862,1211.51064,1211.51064,965.26864,246.242
26910,1231.21,1231.21,984.968,246.242,,26910,1211.51064,1211.51064,965.26864,246.242
26951,690.86,690.86,552.688,138.172,,26951,679.80624,679.80624,541.63424,138.172
26952,690.86,690.86,552.688,138.172,,26952,679.80624,679.80624,541.63424,138.172
26990,905.46,905.46,724.368,181.092,,26990,890.97264,890.97264,709.88064,181.092
26991,905.46,905.46,724.368,181.092,,26991,890.97264,890.97264,709.88064,181.092
27000,905.46,905.46,724.368,181.092,,27000,890.97264,890.97264,709.88064,181.092
27001,1422.98,1422.98,1138.384,284.596,,27001,1400.21232,1400.21232,1115.61632,284.596
27003,1422.98,1422.98,1138.384,284.596,,27003,1400.21232,1400.21232,1115.61632,284.596
27033,2089.06,2089.06,1671.248,417.812,,27033,2055.63504,2055.63504,1637.82304,417.812
27035,1422.98,1422.98,1138.384,284.596,,27035,1400.21232,1400.21232,1115.61632,284.596
27040,354.05,354.05,283.24,70.81,,27040,348.3852,348.3852,277.5752,70.81
27041,354.05,354.05,283.24,70.81,,27041,348.3852,348.3852,277.5752,70.81
27043,959.3,959.3,767.44,191.86,,27043,943.9512,943.9512,752.0912,191.86
27045,959.3,959.3,767.44,191.86,,27045,943.9512,943.9512,752.0912,191.86
27047,633.26,633.26,506.608,126.652,,27047,623.12784,623.12784,496.47584,126.652
27048,633.26,633.26,506.608,126.652,,27048,623.12784,623.12784,496.47584,126.652
27049,633.26,633.26,506.608,126.652,,27049,623.12784,623.12784,496.47584,126.652
27050,905.46,905.46,724.368,181.092,,27050,890.97264,890.97264,709.88064,181.092
27052,905.46,905.46,724.368,181.092,,27052,890.97264,890.97264,709.88064,181.092
27059,959.3,959.3,767.44,191.86,,27059,943.9512,943.9512,752.0912,191.86
27060,905.46,905.46,724.368,181.092,,27060,890.97264,890.97264,709.88064,181.092
27062,905.46,905.46,724.368,181.092,,27062,890.97264,890.97264,709.88064,181.092
27065,905.46,905.46,724.368,181.092,,27065,890.97264,890.97264,709.88064,181.092
27066,1422.98,1422.98,1138.384,284.596,,27066,1400.21232,1400.21232,1115.61632,284.596
27067,1422.98,1422.98,1138.384,284.596,,27067,1400.21232,1400.21232,1115.61632,284.596
27080,1422.98,1422.98,1138.384,284.596,,27080,1400.21232,1400.21232,1115.61632,284.596
27086,354.05,354.05,283.24,70.81,,27086,348.3852,348.3852,277.5752,70.81
27087,905.46,905.46,724.368,181.092,,27087,890.97264,890.97264,709.88064,181.092
27097,1422.98,1422.98,1138.384,284.596,,27097,1400.21232,1400.21232,1115.61632,284.596
27098,1422.98,1422.98,1138.384,284.596,,27098,1400.21232,1400.21232,1115.61632,284.596
27100,2089.06,2089.06,1671.248,417.812,,27100,2055.63504,2055.63504,1637.82304,417.812
27105,2089.06,2089.06,1671.248,417.812,,27105,2055.63504,2055.63504,1637.82304,417.812
27110,2089.06,2089.06,1671.248,417.812,,27110,2055.63504,2055.63504,1637.82304,417.812
27111,2089.06,2089.06,1671.248,417.812,,27111,2055.63504,2055.63504,1637.82304,417.812
27193,95.82,95.82,76.656,19.164,,27193,94.28688,94.28688,75.12288,19.164
27194,247.99,247.99,198.392,49.598,,27194,244.02216,244.02216,194.42416,49.598
27200,59.76,59.76,47.808,11.952,,27200,58.80384,58.80384,46.85184,11.952
27202,2278.63,2278.63,1822.904,455.726,,27202,2242.17192,2242.17192,1786.44592,455.726
27220,59.76,59.76,47.808,11.952,,27220,58.80384,58.80384,46.85184,11.952
27230,95.82,95.82,76.656,19.164,,27230,94.28688,94.28688,75.12288,19.164
27238,95.82,95.82,76.656,19.164,,27238,94.28688,94.28688,75.12288,19.164
27246,95.82,95.82,76.656,19.164,,27246,94.28688,94.28688,75.12288,19.164
27250,95.82,95.82,76.656,19.164,,27250,94.28688,94.28688,75.12288,19.164
27252,247.99,247.99,198.392,49.598,,27252,244.02216,244.02216,194.42416,49.598
27256,59.76,59.76,47.808,11.952,,27256,58.80384,58.80384,46.85184,11.952
27257,247.99,247.99,198.392,49.598,,27257,244.02216,244.02216,194.42416,49.598
27265,95.82,95.82,76.656,19.164,,27265,94.28688,94.28688,75.12288,19.164
27266,637.74,637.74,510.192,127.548,,27266,627.53616,627.53616,499.98816,127.548
27267,691.71,691.71,553.368,138.342,,27267,680.64264,680.64264,542.30064,138.342
27275,637.74,637.74,510.192,127.548,,27275,627.53616,627.53616,499.98816,127.548
27301,867.01,867.01,693.608,173.402,,27301,853.13784,853.13784,679.73584,173.402
27305,905.46,905.46,724.368,181.092,,27305,890.97264,890.97264,709.88064,181.092
27306,905.46,905.46,724.368,181.092,,27306,890.97264,890.97264,709.88064,181.092
27307,1422.98,1422.98,1138.384,284.596,,27307,1400.21232,1400.21232,1115.61632,284.596
27310,1422.98,1422.98,1138.384,284.596,,27310,1400.21232,1400.21232,1115.61632,284.596
27323,354.05,354.05,283.24,70.81,,27323,348.3852,348.3852,277.5752,70.81
27324,959.3,959.3,767.44,191.86,,27324,943.9512,943.9512,752.0912,191.86
27325,764.49,764.49,611.592,152.898,,27325,752.25816,752.25816,599.36016,152.898
27326,764.49,764.49,611.592,152.898,,27326,752.25816,752.25816,599.36016,152.898
