Published Rates,,,,,,Sequestration Reduction Applied,,,,
CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient,,CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient
20650,1422.98,1422.98,1138.384,284.596,,20650,1400.21232,1400.21232,1115.61632,284.596
20662,905.46,905.46,724.368,181.092,,20662,890.97264,890.97264,709.88064,181.092
20663,1422.98,1422.98,1138.384,284.596,,20663,1400.21232,1400.21232,1115.61632,284.596
20665,54.28,54.28,43.424,10.856,,20665,53.41152,53.41152,42.55552,10.856
20670,633.26,633.26,506.608,126.652,,20670,623.12784,623.12784,496.47584,126.652
20680,959.3,959.3,767.44,191.86,,20680,943.9512,943.9512,752.0912,191.86
20690,1422.98,1422.98,1138.384,284.596,,20690,1400.21232,1400.21232,1115.61632,284.596
20692,1422.98,1422.98,1138.384,284.596,,20692,1400.21232,1400.21232,1115.61632,284.596
20693,1422.98,1422.98,1138.384,284.596,,20693,1400.21232,1400.21232,1115.61632,284.596
20694,905.46,905.46,724.368,181.092,,20694,890.97264,890.97264,709.88064,181.092
20696,1422.98,1422.98,1138.384,284.596,,20696,1400.21232,1400.21232,1115.61632,284.596
20697,247.99,247.99,198.392,49.598,,20697,244.02216,244.02216,194.42416,49.598
20822,1231.21,1231.21,984.968,246.242,,20822,1211.51064,1211.51064,965.26864,246.242
20900,1422.98,1422.98,1138.384,284.596,,20900,1400.21232,1400.21232,1115.61632,284.596
20902,1422.98,1422.98,1138.384,284.596,,20902,1400.21232,1400.21232,1115.61632,284.596
20910,226.17,226.17,180.936,45.234,,20910,222.55128,222.55128,177.31728,45.234
20912,1248.73,1248.73,998.984,249.746,,20912,1228.75032,1228.75032,979.00432,249.746
20920,1248.73,1248.73,998.984,249.746,,20920,1228.75032,1228.75032,979.00432,249.746
20922,1248.73,1248.73,998.984,249.746,,20922,1228.75032,1228.75032,979.00432,249.746
20924,1422.98,1422.98,1138.384,284.596,,20924,1400.21232,1400.21232,1115.61632,284.596
20926,1248.73,1248.73,998.984,249.746,,20926,1228.75032,1228.75032,979.00432,249.746
20950,88.2,88.2,70.56,17.64,,20950,86.7888,86.7888,69.1488,17.64
20972,2689.89,2689.89,2151.912,537.978,,20972,2646.85176,2646.85176,2108.87376,537.978
